state,latitude,longitude,name
AK,63.588752999999997,-154.49306200000001,Alaska
AL,32.318230999999997,-86.902298000000002,Alabama
AR,35.201050000000002,-91.831833000000003,Arkansas
AZ,34.048927999999997,-111.09373100000001,Arizona
CA,36.778261000000001,-119.41793199999999,California
CO,39.550051000000003,-105.782067,Colorado
CT,41.603220999999998,-73.087749000000002,Connecticut
DC,38.905985000000001,-77.033417999999998,District of Columbia
DE,38.910831999999999,-75.527670000000001,Delaware
FL,27.664826999999999,-81.515754000000001,Florida
GA,32.157435,-82.907122999999999,Georgia
HI,19.898682000000001,-155.66585699999999,Hawaii
IA,41.878003,-93.097701999999998,Iowa
ID,44.068201999999999,-114.742041,Idaho
IL,40.633125,-89.398527999999999,Illinois
IN,40.551217000000001,-85.602363999999994,Indiana
KS,39.011901999999999,-98.484245999999999,Kansas
KY,37.839333000000003,-84.270017999999993,Kentucky
LA,31.244823,-92.145024000000006,Louisiana
MA,42.407210999999997,-71.382436999999996,Massachusetts
MD,39.045755,-76.641271000000003,Maryland
ME,45.253782999999999,-69.445469000000003,Maine
MI,44.314844000000001,-85.602363999999994,Michigan
MN,46.729553000000003,-94.685900000000004,Minnesota
MO,37.964252999999999,-91.831833000000003,Missouri
MS,32.354667999999997,-89.398527999999999,Mississippi
MT,46.879682000000003,-110.362566,Montana
NC,35.759573000000003,-79.019300000000001,North Carolina
ND,47.551493000000001,-101.00201199999999,North Dakota
NE,41.492536999999999,-99.901813000000004,Nebraska
NH,43.193852,-71.572395,New Hampshire
NJ,40.058323999999999,-74.405660999999995,New Jersey
NM,34.972729999999999,-105.032363,New Mexico
NV,38.802610000000001,-116.419389,Nevada
NY,43.299427999999999,-74.217933000000002,New York
OH,40.417287000000002,-82.907122999999999,Ohio
OK,35.007752000000004,-97.092877000000001,Oklahoma
OR,43.804133,-120.55420100000001,Oregon
PA,41.203322,-77.194524999999999,Pennsylvania
PR,18.220832999999999,-66.590148999999997,Puerto Rico
RI,41.580095,-71.477429000000001,Rhode Island
SC,33.836081,-81.163724999999999,South Carolina
SD,43.969515000000001,-99.901813000000004,South Dakota
TN,35.517491,-86.580447000000007,Tennessee
TX,31.968599000000001,-99.901813000000004,Texas
UT,39.320979999999999,-111.09373100000001,Utah
VA,37.431573,-78.656893999999994,Virginia
VT,44.558802999999997,-72.577841000000006,Vermont
WA,47.751074000000003,-120.740139,Washington
WI,43.784439999999996,-88.787868000000003,Wisconsin
WV,38.597625999999998,-80.454903000000002,West Virginia
WY,43.075968000000003,-107.290284,Wyoming
